,Name,Url
50,Tutorial 39- Gini Impurity Intuition In Depth In Decision Tree,https://www.youtube.com/watch?v=5aIFgrrTqOw&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=51
51,Tutorial 40- Decision Tree Split For Numerical Feature,https://www.youtube.com/watch?v=5O8HvA9pMew&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=52
52,Advance House Price Prediction- Exploratory Data Analysis- Part 1,https://www.youtube.com/watch?v=ioN1jcWxbv8&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=53
53,Advance House Price Prediction- Exploratory Data Analysis- Part 2,https://www.youtube.com/watch?v=wR4Xfwjr-3Y&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=54
54,Advance House Price Prediction-Feature Engineering Part 1,https://www.youtube.com/watch?v=VgZZP8rAS-c&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=55
55,Advance House Price Prediction-Feature Engineering Part 2,https://www.youtube.com/watch?v=0fT-bqvHD2w&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=56
56,Advance House Price Prediction-Feature Selection,https://www.youtube.com/watch?v=1JXrxCJoHuw&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=57
57,"Tutorial 41-Performance Metrics(ROC,AUC Curve) For Classification Problem In Machine Learning Part 2",https://www.youtube.com/watch?v=A_ZKMsZ3f3o&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=58
58,Performance Metrics On MultiClass Classification Problems,https://www.youtube.com/watch?v=tYZ6cpatw-w&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=59
59,K Nearest Neighbor classification with Intuition and practical solution,https://www.youtube.com/watch?v=otolSnbanQk&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=60
60,K Nearest Neighbour Easily Explained with Implementation,https://www.youtube.com/watch?v=wTF6vzS9fy4&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=61
61,Tutorial 42 - Ensemble: What is Bagging (Bootstrap Aggregation)?,https://www.youtube.com/watch?v=KIOeZ5cFZ50&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=62
62,Tutorial 43-Random Forest Classifier and Regressor,https://www.youtube.com/watch?v=nxFG5xdpDto&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=63
63,Tutorial 45-Handling imbalanced Dataset  using python- Part 1,https://www.youtube.com/watch?v=YMPMZmlH5Bo&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=64
64,Tutorial 46-Handling imbalanced Dataset using python- Part 2,https://www.youtube.com/watch?v=OJedgzdipC0&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=65
65,Hyperparameter Optimization for Xgboost,https://www.youtube.com/watch?v=9HomdnM12o4&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=66
66,What is AdaBoost (BOOSTING TECHNIQUES),https://www.youtube.com/watch?v=NLRO1-jp5F8&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=67
67,Visibility Climate Prediction- You Can Add This In Your Resume,https://www.youtube.com/watch?v=oqz6BX6xHtU&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=68
68,Euclidean Distance and Manhattan Distance,https://www.youtube.com/watch?v=p3HbBlcXDTE&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=69
69,K Means Clustering Intuition,https://www.youtube.com/watch?v=AWKCCK5YHsE&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=70
70,Hierarchical Clustering intuition,https://www.youtube.com/watch?v=0jPGHniVVNc&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=71
71,DBSCAN Clustering Easily Explained with Implementation,https://www.youtube.com/watch?v=C3r7tGRe2eI&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=72
72,Silhouette (clustering)- Validating Clustering Models- Unsupervised Machine Learning,https://www.youtube.com/watch?v=DpRPd274-0E&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=73
73,Curse of Dimensionality Easily explained| Machine Learning,https://www.youtube.com/watch?v=_4DaqzLyT08&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=74
74,Dimensional Reduction| Principal Component Analysis,https://www.youtube.com/watch?v=OFyyWcw2cyM&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=75
75,Principle Component Analysis (PCA) using sklearn and python,https://www.youtube.com/watch?v=QdBy02ExhGI&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=76
76,What is Cross Validation and its types?,https://www.youtube.com/watch?v=7062skdX05Y&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=77
77,Tutorial 42-How To Find Optimal Threshold For Binary Classification - Data Science,https://www.youtube.com/watch?v=_AjhdXuXEDE&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=78
78,Tutorial 47- Bayes' Theorem| Conditional Probability- Machine Learning,https://www.youtube.com/watch?v=71oNiqPoKD8&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=79
79,Tutorial 48- Naive Bayes' Classifier Indepth Intuition-  Machine Learning,https://www.youtube.com/watch?v=jS1CKhALUBQ&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=80
80,Tutorial 49- How To Apply Naive Bayes' Classifier On Text Data (NLP)- Machine Learning,https://www.youtube.com/watch?v=temQ8mHpe3k&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=81
81,Support Vector Machine (SVM) Basic Intuition- Part 1| Machine Learning,https://www.youtube.com/watch?v=H9yACitf-KM&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=82
82,Maths Intuition Behind Support Vector Machine Part 2 | Machine Learning Data Science,https://www.youtube.com/watch?v=Js3GLb1xPhc&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=83
83,SVM Kernels In-depth Intuition- Polynomial Kernels Part 3 | Machine Learning Data Science,https://www.youtube.com/watch?v=8bFKyb77vp0&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=84
84,Gradient Boosting In Depth Intuition- Part 1 Machine Learning,https://www.youtube.com/watch?v=Nol1hVtLOSg&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=85
85,Gradient Boosting Complete Maths Indepth Intuiton Explained| Machine Learning- Part2,https://www.youtube.com/watch?v=Oo9q6YtGzvc&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=86
86,Xgboost Classification Indepth Maths Intuition- Machine Learning Algorithms🔥🔥🔥🔥,https://www.youtube.com/watch?v=gPciUPwWJQQ&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=87
87,Xgboost Regression In-Depth Intuition Explained- Machine Learning Algorithms 🔥🔥🔥🔥,https://www.youtube.com/watch?v=w-_vmVfpssg&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=88
88,Data Science In Medical-Live Tracking Of CO--VID Cases In India using Python,https://www.youtube.com/watch?v=SGlU53rg6rE&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=89
89,Perform EDA In Seconds With Visualization Using SweetViz Library,https://www.youtube.com/watch?v=D4fHn4lHCmI&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=90
90,4 End To End Projects Till Deployment For Beginners In Data Science| All You Have To Do Is Learn,https://www.youtube.com/watch?v=sg2zLIor6QU&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=91
91,Deploy Machine Learning Models Using StreamLit Library- Data Science,https://www.youtube.com/watch?v=5XnHlluw-Eo&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=92
92,Perform Exploratory Data Analysis In Minutes- Data Science| Machine Learning,https://www.youtube.com/watch?v=AYalukmWroY&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=93
93,Pandas Visual Analysis- Perform Exploratory Data Analysis In A Single Line Of Code🔥🔥🔥🔥,https://www.youtube.com/watch?v=hLDDt_XUeMA&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=94
94,How To Read And Process Huge Datasets in Seconds Using Vaex Library| Data Science| Machine Learning,https://www.youtube.com/watch?v=myM5nkM_mYg&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=95
95,D-Tale The Best Library To Perform Exploratory Data Analysis Using Single Line Of Code🔥🔥🔥🔥,https://www.youtube.com/watch?v=xSXGcuiEzUc&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=96
96,Interview Prep Day3-How To Prepare Support Vector Machines Important Questions In Interviews🔥🔥,https://www.youtube.com/watch?v=eYRBWM9Mvuc&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=97
97,"Google Datasets Search Engine- Search All Datasets From One Place For Data Science,Machine Learning",https://www.youtube.com/watch?v=mWQjx_lbWjg&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=98
98,How To Run Flask In Google Colab,https://www.youtube.com/watch?v=h6skw_h7Wg8&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=99
99,Time Series Forecasting Using Facebook FbProphet,https://www.youtube.com/watch?v=VtItg-J6-CI&list=PLZoTAELRMXVPBTrWtJkn3wWQxZkmTXGwe&index=100
